2026-06-12 13:36:03,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:36:14,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:36:14,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:36:15,Office Page,GetOffices,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 13:37:30,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:37:30,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:40:11,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:40:11,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:40:35,Office Page,GetOffices,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 13:40:45,Office Page,GetOffices,pq: function public.f_get_office(unknown) does not exist at column 16 (42883)
2026-06-12 13:43:22,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:43:22,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:44:42,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:44:48,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 13:44:58,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:00:13,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:00:13,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:06:53,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:06:53,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:09:28,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:09:28,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:11:16,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 14:11:16,Office Page,GetOfficeList,"sql: Scan error on column index 10, name ""nodel_name"": converting NULL to string is unsupported"
2026-06-12 17:32:51,Office Page,SaveUpdateOffice,office name is required
2026-06-12 17:33:00,Office Page,SaveUpdateOffice,office name is required
2026-06-12 17:36:13,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-12 17:36:41,Office Page,SaveUpdateOffice,"pq: null value in column ""log_id"" of relation ""m_office_log"" violates not-null constraint (23502)"
2026-06-12 17:39:14,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-12 17:43:47,Office Page,SaveUpdateOffice,"pq: null value in column ""log_id"" of relation ""m_office_log"" violates not-null constraint (23502)"
2026-06-12 17:46:10,Office Page,SaveUpdateOffice,"pq: null value in column ""log_id"" of relation ""m_office_log"" violates not-null constraint (23502)"
2026-06-12 17:46:28,Office Page,SaveUpdateOffice,"pq: null value in column ""log_id"" of relation ""m_office_log"" violates not-null constraint (23502)"
2026-06-12 17:46:44,Office Page,SaveUpdateOffice,"pq: null value in column ""log_id"" of relation ""m_office_log"" violates not-null constraint (23502)"
2026-06-12 17:49:09,Office Page,SaveUpdateOffice,"pq: null value in column ""log_id"" of relation ""m_office_log"" violates not-null constraint (23502)"
2026-06-12 18:00:45,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-12 18:00:45,Office Page,SaveUpdateOffice,"sql: expected 1 destination arguments in Scan, not 2"
2026-06-12 18:03:49,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-12 18:03:49,Office Page,SaveUpdateOffice,"sql: expected 1 destination arguments in Scan, not 2"
2026-06-12 18:04:37,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-12 18:04:37,Office Page,SaveUpdateOffice,"sql: expected 1 destination arguments in Scan, not 2"
2026-06-15 10:06:33,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-15 10:06:33,Office Page,SaveUpdateOffice,"sql: expected 1 destination arguments in Scan, not 2"
2026-06-15 10:06:39,Office Page,SaveUpdateOffice Action Log Error,invalid character 'p' looking for beginning of value
2026-06-15 10:06:39,Office Page,SaveUpdateOffice,"sql: expected 1 destination arguments in Scan, not 2"
